alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-1.625000,10.000000,0.000000,-0.692035,0.000000,1.000000
-1.625000,10.000000,0.150000,-0.632585,0.000000,1.000000
-1.875000,100.000000,0.800000,-0.015908,0.000000,1.000000
-1.875000,100.000000,0.650000,-0.049365,0.000000,1.000000
-1.875000,100.000000,0.750000,-0.063966,0.000000,1.000000
-1.875000,100.000000,0.850000,-0.044056,0.000000,1.000000
-1.875000,100.000000,0.400000,-0.253033,0.000000,1.000000
-1.875000,100.000000,0.450000,-0.191503,0.000000,1.000000
-1.875000,100.000000,0.000000,-1.631079,0.000000,1.000000
-1.875000,100.000000,0.350000,-0.310638,0.000000,1.000000
-1.875000,100.000000,0.700000,-0.077311,0.000000,1.000000
-1.875000,100.000000,0.100000,-0.985829,0.000000,1.000000
-1.875000,100.000000,0.600000,-0.113488,0.000000,1.000000
-1.875000,100.000000,1.000000,-0.026131,0.000000,1.000000
-1.875000,100.000000,0.250000,-0.482344,0.000000,1.000000
-1.875000,100.000000,0.200000,-0.605067,0.000000,1.000000
-1.875000,100.000000,0.500000,-0.168313,0.000000,1.000000
-1.875000,100.000000,0.900000,-0.036751,0.000000,1.000000
-1.875000,100.000000,0.950000,-0.012048,0.000000,1.000000
-1.875000,100.000000,0.300000,-0.384885,0.000000,1.000000
-1.875000,100.000000,0.550000,-0.137953,0.000000,1.000000
-1.875000,100.000000,0.150000,-0.767834,0.000000,1.000000
-1.875000,100.000000,0.050000,-1.264305,0.000000,1.000000
-1.625000,10.000000,0.250000,-0.611923,0.000000,1.000000
-1.625000,10.000000,0.400000,-0.547869,0.000000,1.000000
-1.625000,10.000000,0.350000,-0.589016,0.000000,1.000000
-1.625000,10.000000,0.300000,-0.605814,0.000000,1.000000
-1.625000,10.000000,0.450000,-0.553334,0.000000,1.000000
-1.625000,10.000000,0.200000,-0.637250,0.000000,1.000000
-1.625000,10.000000,0.500000,-0.535866,0.000000,1.000000
-1.625000,10.000000,0.550000,-0.519048,0.000000,1.000000
-1.625000,10.000000,0.700000,-0.452427,0.000000,1.000000
-1.625000,10.000000,0.800000,-0.444484,0.000000,1.000000
-1.625000,10.000000,0.900000,-0.418562,0.000000,1.000000
-1.625000,10.000000,0.600000,-0.455454,0.000000,1.000000
-1.625000,10.000000,0.750000,-0.458225,0.000000,1.000000
-1.625000,10.000000,0.650000,-0.431563,0.000000,1.000000
-1.625000,10.000000,0.850000,-0.347608,0.000000,1.000000
-1.625000,10.000000,1.000000,-0.394566,0.000000,1.000000
-1.625000,25.000000,0.100000,-0.754550,0.000000,1.000000
-1.625000,25.000000,0.150000,-0.721636,0.000000,1.000000
-1.625000,25.000000,0.000000,-0.854964,0.000000,1.000000
-1.625000,25.000000,0.350000,-0.539208,0.000000,1.000000
-1.625000,25.000000,0.300000,-0.582471,0.000000,1.000000
-1.625000,25.000000,0.200000,-0.684892,0.000000,1.000000
-1.625000,25.000000,0.450000,-0.432347,0.000000,1.000000
-1.625000,10.000000,0.950000,-0.406334,0.000000,1.000000
