NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
7.698604494238201479e-01,6.351376172446674406e-01,6.247976958436170847e+00,3.399025174813960493e-01
7.021835007639994908e-01,7.018534733569362638e-01,6.652123129146226832e-01,1.379203536720340906e-01
7.780366194444744421e-01,7.769977703448358586e-01,7.390698579625648579e-01,4.396928539944436887e-01
1.005712751884110467e+00,8.333284103696112499e-01,2.506271882034048382e+00,2.539423400769567962e+00
8.512211074198445804e-01,8.510618590573514330e-01,7.778992579487856718e-01,1.528614445131727395e+00
9.288065340604095832e-01,9.272884319932599428e-01,8.016809127325330575e-01,5.361707812961217234e-01
1.113563086323165585e+00,1.110606111094330828e+00,8.765175632477697487e-01,4.179531865723354334e-01
1.106372463638760628e+00,1.103658927792704691e+00,9.264714109669816011e-01,2.088078271958449805e-01
1.149530811437518008e+00,1.147999380209727249e+00,9.745201436603767586e-01,8.674772715722390837e-01
1.097323369349308742e+00,1.095083139169372055e+00,9.256541590467872727e-01,1.619936279492278641e-01
1.157390529108986099e+00,1.155161981327788911e+00,9.712656441727842704e-01,1.126028357290382031e-01
9.226137523876862812e-01,9.215938201046203204e-01,8.192403004972179659e-01,1.286380694583157402e-01
7.349970763696409559e-01,7.343278289538640591e-01,6.981739230612542535e-01,2.099888134404715445e-01
1.021770847297262197e+00,1.020482782548358225e+00,8.832967317188377132e-01,9.641681556820536070e-02
9.967352560638047532e-01,9.950172451465493229e-01,8.856571814216349647e-01,1.455210304656505693e-01
7.935801421360551000e-01,1.069816832000599049e+01,6.007245471268809478e-01,3.937895243837336690e+00
8.245528841356639660e-01,8.234786602295098845e-01,7.460817411976481406e-01,2.444571447845212686e-01
9.948815144345217742e-01,9.938602327346972576e-01,8.823827338955061439e-01,1.726691750703018835e-01
8.376774068104554383e-01,8.375263659128748817e-01,7.782457507842327482e-01,2.042785789275919639e-01
1.237574239022900757e+00,1.234571118148450442e+00,1.047292652054399920e+00,8.603115258015336941e-02
8.433572474212102099e-01,8.433005690059726112e-01,7.862570853063632903e-01,8.824417458967668271e-01
9.801819085957935718e-01,9.782907801123421621e-01,8.207715802255840520e-01,4.370808579924814197e-01
1.009729275595887543e+00,1.008206898267104190e+00,8.700207846462300054e-01,1.678037620875566516e-01
7.699677599931717964e-01,7.687397139986262840e-01,7.273078205733123358e-01,1.179997998074417132e-01
7.121485194739393121e-01,7.111747871575238023e-01,6.905835654193189788e-01,2.481056725444158673e+00
7.686516857395991886e-01,7.671164848202192132e-01,6.812380601868184282e-01,3.561061643158962120e+00
1.002430665014200306e+00,8.340870255756740459e-01,7.677518486481376137e-01,2.015544032858699985e+00
1.117079381313317521e+00,1.114191717613828958e+00,9.523855218785255428e-01,5.198700758637040398e-01
8.851940917185897595e-01,8.835814817750412553e-01,7.653795135232109859e-01,1.542274278293009893e-02
8.669508584127767481e-01,8.656047666886198533e-01,8.052690618355786700e-01,1.843282441293613849e-01
7.711693378275394917e-01,7.688257157433938671e-01,7.819643437869945313e-01,3.326806378810786002e-01
7.144428474648456540e-01,7.138819446562860715e-01,6.846809725387954515e-01,2.379240717405852190e-01
8.682609600912268855e-01,8.676559250526978406e-01,7.959943119094614605e-01,1.896033388028452726e-01
1.128600104006943328e+00,1.125310208265500878e+00,9.294658296595640357e-01,1.577747838552989723e-01
8.834504783512666659e-01,8.814652066519560458e-01,8.189395559663044111e-01,1.743517152379373825e-01
9.722136901175322254e-01,9.702465609474476560e-01,8.543172821535698347e-01,1.530772695735956312e-01
1.061820370497938537e+00,1.060636259938991355e+00,9.447352061803121481e-01,1.224774879712434011e-01
8.714168776983960418e-01,8.708908756117261785e-01,8.019745724907725304e-01,1.500998951021096373e-01
1.010637977890654682e+00,1.009164988613101555e+00,8.986332210258624054e-01,7.922833245576174632e-02
6.385494335952570655e-01,6.379435742614775195e-01,6.166759481117835007e-01,8.953712963073365838e-01
1.246603558004708123e+00,1.245266248699052891e+00,9.821002161134551045e-01,1.432634480799889753e-01
8.061382763475173352e-01,9.353549023626985814e+00,6.043729784875923050e-01,1.354766451496773438e+00
9.024356268618216603e-01,9.006151728590486849e-01,8.057703753422467141e-01,1.843082234367007521e-01
9.422694145645122976e-01,9.413749885797633166e-01,8.032072636139035993e-01,6.097640664069877564e-02
8.104888453388475744e-01,6.350946813145998959e-01,6.056376294341688782e-01,3.652238278256924042e-01
1.029283530259044843e+00,1.028105008834447665e+00,9.134071001902107634e-01,4.619330440638792085e-02
9.063142804528038221e-01,9.050512126316160311e-01,7.924301259394136432e-01,1.958893619780234241e-01
9.152358064252654746e-01,3.786921163810995861e+00,7.233750476899745152e+00,9.889418779989279651e-01
6.597114647282962263e-01,6.592205022229506994e-01,7.348715841577304619e-01,9.092802583610269940e-01
7.948435064656753646e-01,7.939285573679255581e-01,7.269474232121997392e-01,4.135423325735434474e-01
1.089689491587943371e+00,1.088293895193128691e+00,9.056931965853159960e-01,2.100551758175082107e-01
9.315820164197688991e-01,9.301258479905503140e-01,8.152329463508296570e-01,1.003427717119499685e-01
8.685000061515211200e-01,8.683605168446316691e-01,7.979466249009453671e-01,1.482184313333520520e-01
7.566496177311504701e-01,7.566339500884717850e-01,6.988100422753981134e-01,1.567528838525749757e+00
7.513312510917974363e-01,7.512782641336190892e-01,7.102170595268968434e-01,2.504817399980462378e-01
7.658413671120479771e-01,5.975390413621917141e-01,4.676164223595348446e+00,6.539747429339510809e-01
7.445766969407344726e-01,7.439519951010310495e-01,7.008693911454987324e-01,2.267502236403736438e-01
7.571656396240380449e-01,7.567528284053047782e-01,7.241861543556843417e-01,2.176991531098534938e-01
8.917314111261364085e-01,8.905581802707981387e-01,7.949900171554911132e-01,5.599250223394488524e-01
7.546736090325207869e-01,7.550427347316323035e-01,7.219116260844292698e-01,1.767411653808671490e-01
7.826964530855329283e-01,7.816312082865013444e-01,7.408325762201400932e-01,2.028606172512055841e-02
8.564222060994761687e-01,2.175292606431211695e+00,6.569430190333221953e-01,6.718110294256247617e-01
8.018882213160429817e-01,8.012278133130795732e-01,7.531991947504476093e-01,1.392220332654061921e-01
8.305364987373003993e-01,8.294738602337881073e-01,7.779914125456340868e-01,1.479983726618045170e-01
8.347960117827974980e-01,6.695552572364065202e-01,6.470146032713667283e-01,2.392800918940135801e+00
1.243652245332191431e+00,1.241325455344413964e+00,1.023261368733990206e+00,1.619373716293653342e-01
