alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.625000,50.000000,0.150000,-0.566035,0.000000,1.000000
-1.625000,50.000000,0.250000,-0.553764,0.000000,1.000000
-1.625000,50.000000,0.300000,-0.542907,0.000000,1.000000
-1.625000,50.000000,0.500000,-0.509400,0.000000,1.000000
-1.625000,50.000000,0.350000,-0.528478,0.000000,1.000000
-1.625000,50.000000,0.200000,-0.549802,0.000000,1.000000
-1.625000,50.000000,0.550000,-0.504428,0.000000,1.000000
-1.625000,50.000000,0.450000,-0.515769,0.000000,1.000000
-1.625000,50.000000,0.400000,-0.522128,0.000000,1.000000
-1.625000,50.000000,0.700000,-0.488904,0.000000,1.000000
-1.625000,50.000000,0.800000,-0.470878,0.000000,1.000000
-1.625000,50.000000,1.000000,-0.445004,0.000000,1.000000
-1.625000,50.000000,0.850000,-0.468974,0.000000,1.000000
-1.625000,50.000000,0.950000,-0.455821,0.000000,1.000000
-1.625000,50.000000,0.650000,-0.495599,0.000000,1.000000
-1.625000,50.000000,0.750000,-0.478537,0.000000,1.000000
-1.625000,50.000000,0.900000,-0.457947,0.000000,1.000000
-1.625000,50.000000,0.600000,-0.497966,0.000000,1.000000
-1.375000,10.000000,0.100000,-0.649383,0.000000,1.000000
-1.375000,10.000000,0.200000,-0.644575,0.000000,1.000000
-1.375000,10.000000,0.000000,-0.651776,0.000000,1.000000
-1.375000,10.000000,0.150000,-0.648374,0.000000,1.000000
-1.375000,10.000000,0.300000,-0.642794,0.000000,1.000000
-1.375000,10.000000,0.250000,-0.644159,0.000000,1.000000
-1.375000,10.000000,0.350000,-0.646219,0.000000,1.000000
-1.375000,10.000000,0.050000,-0.651422,0.000000,1.000000
-1.375000,10.000000,0.400000,-0.641474,0.000000,1.000000
-1.375000,10.000000,0.500000,-0.631933,0.000000,1.000000
-1.375000,10.000000,0.450000,-0.640220,0.000000,1.000000
-1.625000,100.000000,0.050000,-0.549211,0.000000,1.000000
-1.375000,10.000000,0.550000,-0.637720,0.000000,1.000000
-1.375000,10.000000,0.650000,-0.635231,0.000000,1.000000
-1.375000,10.000000,0.750000,-0.632751,0.000000,1.000000
-1.375000,10.000000,0.800000,-0.639711,0.000000,1.000000
-1.375000,10.000000,0.700000,-0.633990,0.000000,1.000000
-1.375000,10.000000,0.600000,-0.636474,0.000000,1.000000
-1.375000,10.000000,0.850000,-0.630282,0.000000,1.000000
-1.375000,10.000000,0.950000,-0.624517,0.000000,1.000000
-1.375000,10.000000,0.900000,-0.629052,0.000000,1.000000
-1.625000,100.000000,0.550000,-0.423616,0.000000,1.000000
-1.625000,100.000000,0.100000,-0.536113,0.000000,1.000000
-1.625000,100.000000,0.500000,-0.435908,0.000000,1.000000
-1.625000,100.000000,0.200000,-0.510390,0.000000,1.000000
-1.375000,25.000000,0.000000,-0.651496,0.000000,1.000000
-1.625000,100.000000,0.350000,-0.472858,0.000000,1.000000
-1.375000,10.000000,1.000000,-0.626599,0.000000,1.000000
-1.625000,100.000000,0.650000,-0.407491,0.000000,1.000000
-1.625000,100.000000,0.300000,-0.492029,0.000000,1.000000
-1.625000,100.000000,0.000000,-0.558547,0.000000,1.000000
-1.625000,100.000000,0.150000,-0.523156,0.000000,1.000000
