alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.625000,50.000000,-0.100000,nan,0.000000,5.000000
-1.625000,50.000000,-0.090000,nan,0.000000,5.000000
-1.625000,50.000000,-0.070000,nan,0.000000,5.000000
-1.625000,50.000000,-0.040000,nan,0.000000,5.000000
-1.625000,50.000000,-0.030000,nan,0.000000,5.000000
-1.625000,10.000000,-0.020000,-0.405245,0.000000,1.000000
-1.625000,10.000000,-0.010000,-0.506919,0.000000,1.000000
-1.625000,50.000000,-0.020000,nan,0.000000,5.000000
-1.625000,50.000000,-0.010000,nan,0.000000,5.000000
-1.625000,10.000000,-0.030000,-0.286631,0.000000,1.000000
-1.625000,10.000000,0.020000,-0.675774,0.000000,1.000000
-1.625000,10.000000,0.030000,-0.715282,0.000000,1.000000
-1.625000,10.000000,-0.040000,-0.060489,0.000000,1.000000
-1.625000,10.000000,0.000000,-0.589751,0.000000,1.000000
-1.625000,10.000000,0.070000,-0.849521,0.000000,1.000000
-1.625000,10.000000,0.100000,-0.938213,0.000000,1.000000
-1.625000,10.000000,0.080000,-0.881648,0.000000,1.000000
-1.625000,10.000000,0.040000,-0.751540,0.000000,1.000000
-1.875000,100.000000,0.050000,-2.065431,0.000000,1.000000
-1.625000,10.000000,0.010000,-0.637574,0.000000,1.000000
-1.875000,100.000000,0.000000,-0.494435,0.000000,1.000000
-1.875000,100.000000,0.010000,-0.968073,0.000000,1.000000
-1.625000,10.000000,0.050000,-0.784996,0.000000,1.000000
-1.625000,10.000000,0.090000,-0.911091,0.000000,1.000000
-1.625000,10.000000,0.060000,-0.817503,0.000000,1.000000
-1.625000,25.000000,0.000000,-0.583185,0.000000,1.000000
-1.625000,25.000000,0.020000,-0.803615,0.000000,1.000000
-1.875000,100.000000,0.040000,-1.841036,0.000000,1.000000
-1.625000,100.000000,-0.090000,nan,0.000000,5.000000
-1.625000,100.000000,-0.080000,nan,0.000000,5.000000
-1.625000,25.000000,-0.010000,-0.331334,0.000000,1.000000
-1.625000,100.000000,-0.100000,nan,0.000000,5.000000
-1.625000,100.000000,-0.070000,nan,0.000000,5.000000
-1.875000,100.000000,0.030000,-1.589353,0.000000,1.000000
-1.625000,100.000000,-0.060000,nan,0.000000,5.000000
-1.625000,25.000000,0.030000,-0.888502,0.000000,1.000000
-1.625000,25.000000,0.050000,-1.042869,0.000000,1.000000
-1.625000,25.000000,0.060000,-1.115953,0.000000,1.000000
-1.625000,25.000000,0.090000,-1.305131,0.000000,1.000000
-1.625000,25.000000,0.040000,-0.969624,0.000000,1.000000
-1.625000,25.000000,0.080000,-1.243468,0.000000,1.000000
-1.625000,25.000000,0.010000,-0.703287,0.000000,1.000000
-1.625000,25.000000,0.100000,-1.363499,0.000000,1.000000
-1.625000,25.000000,0.070000,-1.179838,0.000000,1.000000
-1.875000,100.000000,0.020000,-1.302531,0.000000,1.000000
-1.875000,100.000000,0.070000,-2.493777,0.000000,1.000000
-1.875000,100.000000,0.080000,-2.688285,0.000000,1.000000
-1.375000,10.000000,-0.100000,nan,0.000000,5.000000
-1.875000,100.000000,0.060000,-2.287725,0.000000,1.000000
-1.875000,100.000000,0.090000,-2.874747,0.000000,1.000000
-1.375000,10.000000,-0.090000,nan,0.000000,5.000000
-1.875000,100.000000,0.100000,-3.050936,0.000000,1.000000
-1.625000,100.000000,-0.010000,nan,0.000000,5.000000
-1.625000,50.000000,0.010000,-0.801416,0.000000,1.000000
-1.375000,10.000000,-0.080000,nan,0.000000,5.000000
-1.625000,100.000000,-0.040000,nan,0.000000,5.000000
-1.625000,100.000000,-0.030000,nan,0.000000,5.000000
-1.625000,50.000000,0.080000,-1.705047,0.000000,1.000000
-1.625000,100.000000,-0.050000,nan,0.000000,5.000000
