NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
8.203763460402792029e-01,4.623574032240609810e+00,1.256276408429700675e+00,6.024752704311066021e-01
-5.837382711784065981e-01,1.913773149932984554e-03,4.441114953602899595e-02,7.333849651278274984e-02
7.326128179142546992e-01,1.720584805954460063e-04,-2.486440325294716341e-02,6.861877007581884506e-03
7.690363097388044356e-01,9.029777200486833522e+00,5.422890444980695612e+00,-7.565826329651378912e-02
7.054915228026938934e-01,-1.627055714311609336e-02,-4.495281107329368760e-03,4.916885681748598413e-01
1.422603995092103002e+00,-7.998112193790584204e-03,-1.064064816646810921e-02,-4.035483718344061443e-02
1.226333092919929424e+00,2.902664455159097504e-02,1.501435951337445118e+00,1.998328064376486135e-01
4.944343618286345388e-01,5.775410575708558092e+00,4.097830729527085936e+00,2.980044406954029390e-01
6.499780295413171149e-01,-3.185514736536308039e-02,-1.876973557316643365e-02,1.601575844537420079e-02
8.213565006520584522e-01,1.338252547132979053e+01,4.329565701487114726e-02,6.584798793971975706e-02
7.383605108874778944e-01,-1.553406784040917143e-02,-8.078623762803879144e-03,-1.508895816077865902e-02
4.895580393488270232e-01,1.212011621396244543e+01,-4.359685019655363397e-02,8.053631272691396115e-01
-2.381585008484107813e-01,-6.907431471977925827e-03,-5.885414469254500111e-03,1.012371400303203828e+00
1.229208532938915521e+00,2.459638877255446165e-02,4.315778680751504448e-02,6.686057212930440752e-02
1.245966813241179860e+00,-1.592975005714528797e-02,-1.988670686516941927e-02,3.873471058820401186e-02
5.808685892777436244e-02,-6.189814230401264120e-03,-5.421058834514415337e-03,-1.138037847371538985e-02
8.880015454578675527e-02,2.825085946177259902e-02,1.164924576244047394e+01,1.364659671433274157e+00
1.380902545955046412e-01,-2.189393556607904107e-02,-1.339889358988308188e-02,-3.427571514411588416e-02
6.667913881973347445e-01,-3.933586208012538818e-03,-1.321570446946894808e-02,6.284817507123712232e-01
2.141392986779693253e+00,-1.336253297187862954e-02,-3.071725254195314947e-02,-2.671850621087724226e-02
1.247065561889461716e+00,2.198130900745481203e-02,3.577122583910263387e+00,8.716159303246072687e-01
5.713439307147801793e-01,-1.208078586119597968e-03,-2.028498948822970299e-02,2.428531122755883329e-02
9.499475919306410887e+00,2.133326456663287463e+00,5.035291033739579536e-01,5.966067038272626633e-01
5.197327198388080882e-01,3.265498113610212916e-02,5.806420095481613863e+00,7.531986525466526361e-01
4.865896129705095663e-01,-1.682318271985562845e-04,-1.408471661795534548e-02,-1.754395070202867044e-02
1.510865805632431336e+00,9.499265985867711981e-01,-1.684743854002612728e-02,-3.442892014048132276e-02
6.616595169438381496e-02,-9.776236503310476410e-04,-1.628364245295964947e-03,6.868668095224702771e-03
8.684932856176356131e-01,-1.563227781550955570e-02,-3.037697408539410428e-03,-5.157649853157806816e-03
-3.106099606349044806e-01,-2.450638768719937740e-03,-9.825813197030887347e-03,7.416037484910005251e-01
-3.536958111545301375e-01,9.625744577612923569e-01,6.639895222017396792e-01,2.655326371268372787e-01
1.211781427826913671e+00,-1.353989149026483228e-02,-2.460984177457111940e-02,-7.466346291318164130e-02
-8.445212274917419937e-02,-2.088357402385835476e-02,-3.429407097106458493e-03,-5.831894662558142345e-02
2.152919102414117131e-02,-1.283584467449166988e-02,-6.822538613465004009e-03,-1.855317837280829468e-02
2.096944505765798716e+00,-1.582147242425571004e-02,-1.047312687310747621e-02,-1.763133453462008976e-02
-5.611741869189456056e-01,4.688527411328001548e+00,2.491112791363743750e-01,3.232666291492499178e-01
3.838599976568948802e-01,-1.940065874909168916e-02,-5.738489964857671453e-03,-3.637261524565623544e-02
3.688998731208786630e+00,2.975190625932475630e-01,1.539649663808970448e-01,1.802398991567360387e+00
5.116315575911409841e-01,-1.299607800586989083e-02,-2.288029094455776291e-02,-3.797983585103550247e-02
2.453828742112111883e-01,-8.160077343666461563e-03,-1.077393106541871953e-02,9.706628308044019243e-03
5.233775559200498639e-01,-1.293064476983859026e-02,-1.826325413443203455e-02,-6.145184789334046105e-02
7.117114511924635956e-01,-8.865099370016582894e-03,-2.573233224697760169e-02,-3.093985729050714034e-02
3.617188917202568410e-01,4.221538919430112280e-01,1.414390640739869587e-01,1.928806315653223136e+00
5.882213933765699787e-01,-2.195702209411441036e-02,-7.617790963842350702e-03,-1.213271864726045467e-03
7.720209630042138560e-01,5.011319652232135269e+00,2.504707460234952610e+00,1.896562182635928295e-01
-2.488594974411048599e-01,-2.636340792094557951e-03,-7.190323950596556532e-03,2.784997946350303843e-02
1.940237514510629868e+00,8.608918465208306170e-01,3.542990891887825566e-01,2.432424649141731177e+00
1.752451686036776424e-01,3.591758255641250397e+00,1.836312409815126667e+00,5.923299958099319529e-01
8.580535842334772179e-01,-2.580818284939592668e-03,-1.394393059867713412e-02,-2.769107509146863724e-02
2.690694541075402402e-01,2.455524161065611821e+01,2.240283192821727193e-02,2.521323384361570663e-01
-5.561556559453469939e-01,-7.336195778834518795e-03,-2.165827127198582946e-02,-7.013613936432160252e-03
